Country,EducacionTerciaria_2015,EducacionEscolar_2011,Desempleo_2021,IDH_2019
República Dominicana,1.45290994644165,0.9894899725914,3,0.756
Ruanda,,,,0.543
Rumanía,,,,0.828
Rusia,,,,0.824
Samoa,,1.06421005725861,3,0.715
San Cristóbal y Nieves,,,,0.779
San Vicente y las Granadinas,1.40259003639221,0.97707998752594,5,0.738
Santa Lucía,1.47336995601654,,5,0.759
Santo Tomé y Príncipe,1.03869998455048,1.01201999187469,6,0.625
Senegal,0.593299984931946,1.05032002925873,1,0.512
Serbia,1.24996995925903,1.01679003238678,3,0.806
Seychelles,1.53876996040344,1.05625998973846,,0.796
Sierra Leona,,0.900740027427673,1,0.452
Singapur,,,1,0.938
Siria,,,,0.567
Sri Lanka,1.35175001621246,0.995890021324158,2,0.782
Suazilandia,,,,0.611
Sudáfrica,,0.998080015182495,9,0.709
Sudán,1.01642000675201,0.893079996109009,8,0.51
Sudán del Sur,,0.647140026092529,4,0.433
Suecia,1.3444299697876,0.992640018463135,2,0.945
Suiza,1.02778005599976,0.983799993991852,2,0.955
Surinam,,,,0.738
Tailandia,,1.02875995635986,1,0.777
Tanzania,,,,0.529
Tayikistán,0.674549996852875,0.916109979152679,2,0.668
Timor Oriental,,,,0.606
Togo,0.425949990749359,,1,0.515
Tonga,,0.974319994449615,1,0.725
Trinidad y Tobago,,,1,0.796
Túnez,1.39667999744415,1.03831994533539,6,0.74
Turkmenistán,,,1,0.715
Turquía,,0.94989001750946,4,0.82
Ucrania,,0.98496001958847,2,0.779
Uganda,,,1,0.544
Uruguay,,,3,0.817
Uzbekistán,0.629010021686554,0.988789975643158,2,0.72
Vanuatu,,,1,0.609
Venezuela,,1.02064001560211,2,0.711
Vietnam,,,,0.704
Yemen,,,,0.47
Yibuti,,,,0.524
Zambia,,,4,0.584
Zimbabue,,,,0.571
